Date_Checked,Apartment_ID,Rooms,Area_m2,Floor,Status,Base_Rent,Total_Rent
2025-12-05,3011-30735-0072,1,32.68,EG,Occupied,,
2025-12-05,3011-30735-0077,2,51.03,1.OG,Occupied,,
2025-12-05,3011-30735-0014,2,59.64,1.OG,Available,892.81,1088.82
2025-12-05,3011-30735-0076,2,60.24,1.OG,Available,949.38,1149.59
2025-12-05,3011-30735-0041,2,64.53,1.OG,Available,1069.26,1273.02
2025-12-05,3011-30735-0042,2,64.56,1.OG,Available,987.12,1199.61
2025-12-05,3011-30735-0015,2,64.76,1.OG,Available,1040.69,1256.2
2025-12-05,3011-30735-0081,2,57.59,2.OG,Occupied,,
2025-12-05,3011-30735-0044,2,57.63,2.OG,Available,972.22,1162.09
2025-12-05,3011-30735-0017,2,59.79,2.OG,Occupied,,
2025-12-05,3011-30735-0045,2,60.06,2.OG,Available,894.89,1099.09
2025-12-05,3011-30735-0080,2,60.12,2.OG,Occupied,,
2025-12-05,3011-30735-0018,2,64.42,2.OG,Available,1035.23,1249.74
2025-12-05,3011-30735-0085,2,57.59,3.OG,Occupied,,
2025-12-05,3011-30735-0047,2,57.7,3.OG,Available,,
2025-12-05,3011-30735-0020,2,59.62,3.OG,Available,892.51,1088.47
2025-12-05,3011-30735-0048,2,59.98,3.OG,Occupied,,
2025-12-05,3011-30735-0084,2,60.11,3.OG,Occupied,,
2025-12-05,3011-30735-0021,2,64.42,3.OG,Available,1035.23,1249.58
2025-12-05,3011-30735-0023,2,59.85,4.OG,Available,961.79,1158.22
2025-12-05,3011-30735-0024,2,64.42,4.OG,Occupied,,
2025-12-05,3011-30735-0073,2,59.64,EG,Available,862.99,1059.14
2025-12-05,3011-30735-0039,2,70.5,EG,Available,1069.49,1299.71
2025-12-05,3011-30735-0037,2,71.57,PH,Available,1243.17,1478.0
2025-12-05,3011-30735-0038,2,72.25,PH,Available,1254.98,1491.29
2025-12-05,3011-30735-0010,2,73.1,PH,Available,1260.98,1494.55
2025-12-05,3011-30735-0051,2,73.99,PH,Available,,
2025-12-05,3011-30735-0009,2,82.71,PH,Available,1390.35,1652.06
2025-12-05,3011-30735-0087,2,83.39,PH,Available,1399.28,1666.12
2025-12-05,3011-30735-0030,3,76.98,1.OG,Available,1099.27,1356.34
2025-12-05,3011-30735-0029,3,77.12,1.OG,Available,1177.62,1434.98
2025-12-05,3011-30735-0078,3,81.82,1.OG,Occupied,,
2025-12-05,3011-30735-0040,3,85.57,1.OG,Available,1375.11,1650.41
2025-12-05,3011-30735-0061,3,86.96,1.OG,Available,1220.92,1500.39
2025-12-05,3011-30735-0053,3,87.71,1.OG,Available,1232.32,1514.33
2025-12-05,3011-30735-0013,3,89.69,1.OG,Available,,
2025-12-05,3011-30735-0075,3,92.01,1.OG,Available,1331.38,1638.07
2025-12-05,3011-30735-0001,3,101.17,1.OG,Available,1369.84,1698.98
2025-12-05,3011-30735-0032,3,76.92,2.OG,Occupied,,
2025-12-05,3011-30735-0031,3,76.95,2.OG,Available,1142.71,1399.69
2025-12-05,3011-30735-0043,3,78.76,2.OG,Available,1289.3,1551.01
2025-12-05,3011-30735-0063,3,79.48,2.OG,Occupied,,
2025-12-05,3011-30735-0055,3,79.48,2.OG,Occupied,,
2025-12-05,3011-30735-0082,3,81.82,2.OG,Occupied,,
2025-12-05,3011-30735-0003,3,85.52,2.OG,Occupied,,
2025-12-05,3011-30735-0004,3,85.87,2.OG,Occupied,,
2025-12-05,3011-30735-0016,3,89.3,2.OG,Available,,
2025-12-05,3011-30735-0079,3,91.92,2.OG,Available,1357.66,1664.17
2025-12-05,3011-30735-0034,3,76.81,3.OG,Available,1195.93,1452.44
2025-12-05,3011-30735-0033,3,77.07,3.OG,Available,1242.37,1499.59
2025-12-05,3011-30735-0046,3,78.78,3.OG,Available,1289.63,1551.2
2025-12-05,3011-30735-0065,3,79.33,3.OG,Available,1109.04,1373.9
2025-12-05,3011-30735-0057,3,79.7,3.OG,Occupied,,
2025-12-05,3011-30735-0086,3,81.82,3.OG,Available,1224.85,1498.59
2025-12-05,3011-30735-0006,3,86.37,3.OG,Available,1301.6,1590.26
2025-12-05,3011-30735-0005,3,86.69,3.OG,Available,1204.99,1494.75
2025-12-05,3011-30735-0019,3,89.61,3.OG,Available,,
2025-12-05,3011-30735-0083,3,91.93,3.OG,Available,1385.39,1691.92
2025-12-05,3011-30735-0035,3,76.91,4.OG,Available,1242.87,1499.7
2025-12-05,3011-30735-0036,3,76.94,4.OG,Available,1236.43,1493.21
2025-12-05,3011-30735-0049,3,78.76,4.OG,Occupied,,
2025-12-05,3011-30735-0067,3,79.6,4.OG,Available,1201.16,1466.99
2025-12-05,3011-30735-0059,3,79.63,4.OG,Available,1239.84,1505.8
2025-12-05,3011-30735-0008,3,86.8,4.OG,Available,1316.75,1606.83
2025-12-05,3011-30735-0007,3,87.17,4.OG,Available,1287.5,1578.96
2025-12-05,3011-30735-0022,3,89.41,4.OG,Available,1347.41,1644.63
2025-12-05,3011-30735-0011,3,83.24,EG,Available,1130.4,1399.78
2025-12-05,3011-30735-0028,3,83.39,EG,Available,1130.77,1399.39
2025-12-05,3011-30735-0074,3,85.26,EG,Occupied,,
2025-12-05,3011-30735-0012,3,94.15,EG,Available,1193.82,1499.82
2025-12-05,3011-30735-0027,3,98.23,EG,Available,1299.58,1597.95
2025-12-05,3011-30735-0025,3,89.02,PH,Available,1499.1,1782.5
2025-12-05,3011-30735-0026,3,89.31,PH,Occupied,,
2025-12-05,3011-30735-0052,3,96.92,PH,Available,1586.58,1895.99
2025-12-05,3011-30735-0088,3,102.95,PH,Available,1669.85,1999.57
2025-12-05,3011-30735-0062,4,116.21,1.OG,Available,,
2025-12-05,3011-30735-0054,4,123.63,1.OG,Available,1690.02,2092.79
2025-12-05,3011-30735-0002,4,152.2,1.OG,Available,1913.15,2405.48
2025-12-05,3011-30735-0056,4,116.89,2.OG,Available,1597.89,1988.12
2025-12-05,3011-30735-0064,4,117.29,2.OG,Available,1697.18,2089.12
2025-12-05,3011-30735-0058,4,116.88,3.OG,Available,1597.75,1987.97
2025-12-05,3011-30735-0066,4,117.21,3.OG,Available,1765.18,2156.77
2025-12-05,3011-30735-0050,4,113.39,4.OG,Available,1799.5,2178.95
2025-12-05,3011-30735-0060,4,116.81,4.OG,Available,1759.16,2149.1
2025-12-05,3011-30735-0068,4,117.34,4.OG,Available,1803.52,2195.56
2025-12-05,3011-30735-0071,4,115.6,EG,Available,1557.13,1938.83
2025-12-05,3011-30735-0070,4,110.93,PH,Available,,
2025-12-05,3011-30735-0069,4,119.57,PH,Available,1957.36,2349.45
2025-12-08,3011-30735-0072,1,32.68,EG,Occupied,,
2025-12-08,3011-30735-0077,2,51.03,1.OG,Occupied,,
2025-12-08,3011-30735-0014,2,59.64,1.OG,Available,892.81,1088.82
2025-12-08,3011-30735-0076,2,60.24,1.OG,Available,949.38,1149.59
2025-12-08,3011-30735-0041,2,64.53,1.OG,Available,1069.26,1273.02
2025-12-08,3011-30735-0042,2,64.56,1.OG,Available,987.12,1199.61
2025-12-08,3011-30735-0015,2,64.76,1.OG,Available,1040.69,1256.2
2025-12-08,3011-30735-0081,2,57.59,2.OG,Occupied,,
2025-12-08,3011-30735-0044,2,57.63,2.OG,Available,972.22,1162.09
2025-12-08,3011-30735-0017,2,59.79,2.OG,Occupied,,
2025-12-08,3011-30735-0045,2,60.06,2.OG,Available,894.89,1099.09
2025-12-08,3011-30735-0080,2,60.12,2.OG,Occupied,,
2025-12-08,3011-30735-0018,2,64.42,2.OG,Available,1035.23,1249.74
2025-12-08,3011-30735-0085,2,57.59,3.OG,Occupied,,
2025-12-08,3011-30735-0047,2,57.7,3.OG,Available,,
2025-12-08,3011-30735-0020,2,59.62,3.OG,Available,892.51,1088.47
2025-12-08,3011-30735-0048,2,59.98,3.OG,Occupied,,
2025-12-08,3011-30735-0084,2,60.11,3.OG,Occupied,,
2025-12-08,3011-30735-0021,2,64.42,3.OG,Available,1035.23,1249.58
2025-12-08,3011-30735-0023,2,59.85,4.OG,Available,961.79,1158.22
2025-12-08,3011-30735-0024,2,64.42,4.OG,Occupied,,
2025-12-08,3011-30735-0073,2,59.64,EG,Available,862.99,1059.14
2025-12-08,3011-30735-0039,2,70.5,EG,Available,1069.49,1299.71
2025-12-08,3011-30735-0037,2,71.57,PH,Available,1243.17,1478.0
2025-12-08,3011-30735-0038,2,72.25,PH,Available,1254.98,1491.29
2025-12-08,3011-30735-0010,2,73.1,PH,Available,1260.98,1494.55
2025-12-08,3011-30735-0051,2,73.99,PH,Available,,
2025-12-08,3011-30735-0009,2,82.71,PH,Available,1390.35,1652.06
2025-12-08,3011-30735-0087,2,83.39,PH,Available,1399.28,1666.12
2025-12-08,3011-30735-0030,3,76.98,1.OG,Available,1099.27,1356.34
2025-12-08,3011-30735-0029,3,77.12,1.OG,Available,1177.62,1434.98
2025-12-08,3011-30735-0078,3,81.82,1.OG,Occupied,,
2025-12-08,3011-30735-0040,3,85.57,1.OG,Available,1375.11,1650.41
2025-12-08,3011-30735-0061,3,86.96,1.OG,Available,1220.92,1500.39
2025-12-08,3011-30735-0053,3,87.71,1.OG,Available,1232.32,1514.33
2025-12-08,3011-30735-0013,3,89.69,1.OG,Available,,
2025-12-08,3011-30735-0075,3,92.01,1.OG,Available,1331.38,1638.07
2025-12-08,3011-30735-0001,3,101.17,1.OG,Available,1369.84,1698.98
2025-12-08,3011-30735-0032,3,76.92,2.OG,Occupied,,
2025-12-08,3011-30735-0031,3,76.95,2.OG,Available,1142.71,1399.69
2025-12-08,3011-30735-0043,3,78.76,2.OG,Available,1289.3,1551.01
2025-12-08,3011-30735-0063,3,79.48,2.OG,Occupied,,
2025-12-08,3011-30735-0055,3,79.48,2.OG,Occupied,,
2025-12-08,3011-30735-0082,3,81.82,2.OG,Occupied,,
2025-12-08,3011-30735-0003,3,85.52,2.OG,Occupied,,
2025-12-08,3011-30735-0004,3,85.87,2.OG,Occupied,,
2025-12-08,3011-30735-0016,3,89.3,2.OG,Available,,
2025-12-08,3011-30735-0079,3,91.92,2.OG,Available,1357.66,1664.17
2025-12-08,3011-30735-0034,3,76.81,3.OG,Available,1195.93,1452.44
2025-12-08,3011-30735-0033,3,77.07,3.OG,Available,1242.37,1499.59
2025-12-08,3011-30735-0046,3,78.78,3.OG,Available,1289.63,1551.2
2025-12-08,3011-30735-0065,3,79.33,3.OG,Available,1109.04,1373.9
2025-12-08,3011-30735-0057,3,79.7,3.OG,Occupied,,
2025-12-08,3011-30735-0086,3,81.82,3.OG,Available,1224.85,1498.59
2025-12-08,3011-30735-0006,3,86.37,3.OG,Available,1301.6,1590.26
2025-12-08,3011-30735-0005,3,86.69,3.OG,Available,1204.99,1494.75
2025-12-08,3011-30735-0019,3,89.61,3.OG,Available,,
2025-12-08,3011-30735-0083,3,91.93,3.OG,Available,1385.39,1691.92
2025-12-08,3011-30735-0035,3,76.91,4.OG,Available,1242.87,1499.7
2025-12-08,3011-30735-0036,3,76.94,4.OG,Available,1236.43,1493.21
2025-12-08,3011-30735-0049,3,78.76,4.OG,Occupied,,
2025-12-08,3011-30735-0067,3,79.6,4.OG,Available,1201.16,1466.99
2025-12-08,3011-30735-0059,3,79.63,4.OG,Available,1239.84,1505.8
2025-12-08,3011-30735-0008,3,86.8,4.OG,Available,1316.75,1606.83
2025-12-08,3011-30735-0007,3,87.17,4.OG,Available,1287.5,1578.96
2025-12-08,3011-30735-0022,3,89.41,4.OG,Available,1347.41,1644.63
2025-12-08,3011-30735-0011,3,83.24,EG,Available,1130.4,1399.78
2025-12-08,3011-30735-0028,3,83.39,EG,Available,1130.77,1399.39
2025-12-08,3011-30735-0074,3,85.26,EG,Occupied,,
2025-12-08,3011-30735-0012,3,94.15,EG,Available,1193.82,1499.82
2025-12-08,3011-30735-0027,3,98.23,EG,Available,1299.58,1597.95
2025-12-08,3011-30735-0025,3,89.02,PH,Available,1499.1,1782.5
2025-12-08,3011-30735-0026,3,89.31,PH,Occupied,,
2025-12-08,3011-30735-0052,3,96.92,PH,Available,1586.58,1895.99
2025-12-08,3011-30735-0088,3,102.95,PH,Available,1669.85,1999.57
2025-12-08,3011-30735-0062,4,116.21,1.OG,Available,,
2025-12-08,3011-30735-0054,4,123.63,1.OG,Available,1690.02,2092.79
2025-12-08,3011-30735-0002,4,152.2,1.OG,Available,1913.15,2405.48
2025-12-08,3011-30735-0056,4,116.89,2.OG,Available,1597.89,1988.12
2025-12-08,3011-30735-0064,4,117.29,2.OG,Available,1697.18,2089.12
2025-12-08,3011-30735-0058,4,116.88,3.OG,Available,1597.75,1987.97
2025-12-08,3011-30735-0066,4,117.21,3.OG,Available,1765.18,2156.77
2025-12-08,3011-30735-0050,4,113.39,4.OG,Available,1799.5,2178.95
2025-12-08,3011-30735-0060,4,116.81,4.OG,Available,1759.16,2149.1
2025-12-08,3011-30735-0068,4,117.34,4.OG,Available,1803.52,2195.56
2025-12-08,3011-30735-0071,4,115.6,EG,Available,1557.13,1938.83
2025-12-08,3011-30735-0070,4,110.93,PH,Available,,
2025-12-08,3011-30735-0069,4,119.57,PH,Available,1957.36,2349.45
2025-12-09,3011-30735-0072,1,32.68,EG,Occupied,,
2025-12-09,3011-30735-0077,2,51.03,1.OG,Occupied,,
2025-12-09,3011-30735-0014,2,59.64,1.OG,Available,892.81,1088.82
2025-12-09,3011-30735-0076,2,60.24,1.OG,Available,949.38,1149.59
2025-12-09,3011-30735-0041,2,64.53,1.OG,Available,1069.26,1273.02
2025-12-09,3011-30735-0042,2,64.56,1.OG,Available,987.12,1199.61
2025-12-09,3011-30735-0015,2,64.76,1.OG,Available,1040.69,1256.2
2025-12-09,3011-30735-0081,2,57.59,2.OG,Occupied,,
2025-12-09,3011-30735-0044,2,57.63,2.OG,Available,972.22,1162.09
2025-12-09,3011-30735-0017,2,59.79,2.OG,Occupied,,
2025-12-09,3011-30735-0045,2,60.06,2.OG,Available,894.89,1099.09
2025-12-09,3011-30735-0080,2,60.12,2.OG,Occupied,,
2025-12-09,3011-30735-0018,2,64.42,2.OG,Available,1035.23,1249.74
2025-12-09,3011-30735-0085,2,57.59,3.OG,Occupied,,
2025-12-09,3011-30735-0047,2,57.7,3.OG,Available,,
2025-12-09,3011-30735-0020,2,59.62,3.OG,Available,892.51,1088.47
2025-12-09,3011-30735-0048,2,59.98,3.OG,Occupied,,
2025-12-09,3011-30735-0084,2,60.11,3.OG,Occupied,,
2025-12-09,3011-30735-0021,2,64.42,3.OG,Available,1035.23,1249.58
2025-12-09,3011-30735-0023,2,59.85,4.OG,Available,961.79,1158.22
2025-12-09,3011-30735-0024,2,64.42,4.OG,Occupied,,
2025-12-09,3011-30735-0073,2,59.64,EG,Available,862.99,1059.14
2025-12-09,3011-30735-0039,2,70.5,EG,Available,1069.49,1299.71
2025-12-09,3011-30735-0037,2,71.57,PH,Available,1243.17,1478.0
2025-12-09,3011-30735-0038,2,72.25,PH,Available,1254.98,1491.29
2025-12-09,3011-30735-0010,2,73.1,PH,Available,1260.98,1494.55
2025-12-09,3011-30735-0051,2,73.99,PH,Available,,
2025-12-09,3011-30735-0009,2,82.71,PH,Available,1390.35,1652.06
2025-12-09,3011-30735-0087,2,83.39,PH,Available,1399.28,1666.12
2025-12-09,3011-30735-0030,3,76.98,1.OG,Available,1099.27,1356.34
2025-12-09,3011-30735-0029,3,77.12,1.OG,Available,1177.62,1434.98
2025-12-09,3011-30735-0078,3,81.82,1.OG,Occupied,,
2025-12-09,3011-30735-0040,3,85.57,1.OG,Available,1375.11,1650.41
2025-12-09,3011-30735-0061,3,86.96,1.OG,Available,1220.92,1500.39
2025-12-09,3011-30735-0053,3,87.71,1.OG,Available,1232.32,1514.33
2025-12-09,3011-30735-0013,3,89.69,1.OG,Available,,
2025-12-09,3011-30735-0075,3,92.01,1.OG,Available,1331.38,1638.07
2025-12-09,3011-30735-0001,3,101.17,1.OG,Available,1369.84,1698.98
2025-12-09,3011-30735-0032,3,76.92,2.OG,Occupied,,
2025-12-09,3011-30735-0031,3,76.95,2.OG,Available,1142.71,1399.69
2025-12-09,3011-30735-0043,3,78.76,2.OG,Available,1289.3,1551.01
2025-12-09,3011-30735-0063,3,79.48,2.OG,Occupied,,
2025-12-09,3011-30735-0055,3,79.48,2.OG,Occupied,,
2025-12-09,3011-30735-0082,3,81.82,2.OG,Occupied,,
2025-12-09,3011-30735-0003,3,85.52,2.OG,Occupied,,
2025-12-09,3011-30735-0004,3,85.87,2.OG,Occupied,,
2025-12-09,3011-30735-0016,3,89.3,2.OG,Available,,
2025-12-09,3011-30735-0079,3,91.92,2.OG,Available,1357.66,1664.17
2025-12-09,3011-30735-0034,3,76.81,3.OG,Available,1195.93,1452.44
2025-12-09,3011-30735-0033,3,77.07,3.OG,Available,1242.37,1499.59
2025-12-09,3011-30735-0046,3,78.78,3.OG,Available,1289.63,1551.2
2025-12-09,3011-30735-0065,3,79.33,3.OG,Available,1109.04,1373.9
2025-12-09,3011-30735-0057,3,79.7,3.OG,Occupied,,
2025-12-09,3011-30735-0086,3,81.82,3.OG,Available,1224.85,1498.59
2025-12-09,3011-30735-0006,3,86.37,3.OG,Available,1301.6,1590.26
2025-12-09,3011-30735-0005,3,86.69,3.OG,Available,1204.99,1494.75
2025-12-09,3011-30735-0019,3,89.61,3.OG,Available,,
2025-12-09,3011-30735-0083,3,91.93,3.OG,Available,1385.39,1691.92
2025-12-09,3011-30735-0035,3,76.91,4.OG,Available,1242.87,1499.7
2025-12-09,3011-30735-0036,3,76.94,4.OG,Available,1236.43,1493.21
2025-12-09,3011-30735-0049,3,78.76,4.OG,Occupied,,
2025-12-09,3011-30735-0067,3,79.6,4.OG,Available,1201.16,1466.99
2025-12-09,3011-30735-0059,3,79.63,4.OG,Available,1239.84,1505.8
2025-12-09,3011-30735-0008,3,86.8,4.OG,Available,1316.75,1606.83
2025-12-09,3011-30735-0007,3,87.17,4.OG,Available,1287.5,1578.96
2025-12-09,3011-30735-0022,3,89.41,4.OG,Available,1347.41,1644.63
2025-12-09,3011-30735-0011,3,83.24,EG,Available,1130.4,1399.78
2025-12-09,3011-30735-0028,3,83.39,EG,Available,1130.77,1399.39
2025-12-09,3011-30735-0074,3,85.26,EG,Occupied,,
2025-12-09,3011-30735-0012,3,94.15,EG,Available,1193.82,1499.82
2025-12-09,3011-30735-0027,3,98.23,EG,Available,1299.58,1597.95
2025-12-09,3011-30735-0025,3,89.02,PH,Available,1499.1,1782.5
2025-12-09,3011-30735-0026,3,89.31,PH,Occupied,,
2025-12-09,3011-30735-0052,3,96.92,PH,Available,1586.58,1895.99
2025-12-09,3011-30735-0088,3,102.95,PH,Available,1669.85,1999.57
2025-12-09,3011-30735-0062,4,116.21,1.OG,Available,,
2025-12-09,3011-30735-0054,4,123.63,1.OG,Available,1690.02,2092.79
2025-12-09,3011-30735-0002,4,152.2,1.OG,Available,1913.15,2405.48
2025-12-09,3011-30735-0056,4,116.89,2.OG,Available,1597.89,1988.12
2025-12-09,3011-30735-0064,4,117.29,2.OG,Available,1697.18,2089.12
2025-12-09,3011-30735-0058,4,116.88,3.OG,Available,1597.75,1987.97
2025-12-09,3011-30735-0066,4,117.21,3.OG,Available,1765.18,2156.77
2025-12-09,3011-30735-0050,4,113.39,4.OG,Available,1799.5,2178.95
2025-12-09,3011-30735-0060,4,116.81,4.OG,Available,1759.16,2149.1
2025-12-09,3011-30735-0068,4,117.34,4.OG,Available,1803.52,2195.56
2025-12-09,3011-30735-0071,4,115.6,EG,Available,1557.13,1938.83
2025-12-09,3011-30735-0070,4,110.93,PH,Available,,
2025-12-09,3011-30735-0069,4,119.57,PH,Available,1957.36,2349.45
2025-12-16,3011-30735-0072,1,32.68,EG,Occupied,,
2025-12-16,3011-30735-0077,2,51.03,1.OG,Occupied,,
